23275421167,(พร้อมส่ง) บ้องแก้วหนา9มิล 35-45CM  ขนาดใหญ่  คัพสายเขียว หลอดวิทยาศาสตร์ โจ๋ข้อต่อน่าสะสม14MM,฿338.00,1.8พัน,CNM.TH,6.5%,฿21.97,https://shopee.co.th/product/841420326/23275421167,https://s.shopee.co.th/4AhvpgLNMS
23440244214,อุปกรณ์สายเขียว ยางรองฐานบ้องแก้ว 1 เซ็ท 3 ชิ้น กันลื่น,฿65.00,2.7พัน,glassbkk,8.5%,฿5.53,https://shopee.co.th/product/987811447/23440244214,https://s.shopee.co.th/40OVdNM0hR
24105124596,บ้องแก้วใหญ่ 43CM-45cm หลอดแก้ว 14cm หนา 9mm พร้อมส่งจากไทย glass bong อุปกรณ์ครบชุดไม่ต้องซื้อเพิ่ม หนาขึ้น,฿498.00,2.4พัน,LilHigh,5.5%,฿27.39,https://shopee.co.th/product/1024953080/24105124596,https://s.shopee.co.th/4VKmEIK6gY
22071677583,พร้อมส่ง บ้องแก้ว คัพ14mm 18mm  ข้อต่อ หลอด แก้วแท้100% แก้ววิทยาศาสตร์ใน,฿9.00,5.2พัน,GB420 SHOP,8.5%,฿0.77,https://shopee.co.th/product/1004410051/22071677583,https://s.shopee.co.th/4L1M1zKk1X
15698383317,บ้องแก้วใหญ่ 35CM หลอดแก้ว 14CM หนา 7MM พร้อมส่งจากไทย galss bong อุปกรณ์ครบชุดไม่ต้องซื้อเพิ่ม (บ้อง+หลอด+คัพ),฿298.00,2พัน,LilHigh,5.5%,฿16.39,https://shopee.co.th/product/1024953080/15698383317,https://s.shopee.co.th/3VSF2SNuiO
20083986370,⚡️พร้อมส่ง⚡️ Honeypuff บ้องจิ๋ว หลอดแก้ว พกพาง่ายใช้งานสะดวก,฿19.00,1.9พัน,Chic Cheap Choice,11.5%,฿2.19,https://shopee.co.th/product/679100514/20083986370,https://s.shopee.co.th/3L8oq9OY3N
22772481002,บ้องแก้วใหญ่ 35CM หลอดแก้ว 14CM หนา 7MM สกรีนสวย พร้อมส่งจากไทย  อุปกรณ์ครบชุด (บ้อง+หลอด+คัพ),฿298.00,3.4พัน,LilHigh,5.5%,฿16.39,https://shopee.co.th/product/1024953080/22772481002,https://s.shopee.co.th/3q55R4Me2U
18747069730,บ้องแก้ว (14mm/18mm) ตัวกรอง บ้อง2หัว แก้ว 90องศา 45องศา กรองนุ่ม กรองเสริม ล้างง่าย,฿69.00,4.6พัน,ซื้ออะไรดีเน๊าะ,5.5%,฿3.80,https://shopee.co.th/product/91005587/18747069730,https://s.shopee.co.th/3flfElNHNT
24704788582,บ้องแก้วขนาดใหญ่ สูง 50 CM หนา 7MM ส่งจากกรุงเทพทุกวัน บ้องแก้ววิทยาศาสตร์ ครบชุด (บ้อง + หลอด + ถ้วย 14MM) bong50E,฿525.00,1.7พัน,Thai.Glass,5.5%,฿28.88,https://shopee.co.th/product/258923396/24704788582,https://s.shopee.co.th/2qCYFEQS4K
25681292451,(พร้อมส่ง) บ้องแก้ว35CM ขนาดใหญ่ 14MM คัพสายเขียว หลอดวิทยาศาสตร์ โจ๋ข้อต่อน่าสะสม WR,฿298.00,287,CZX-420,8.5%,฿25.33,https://shopee.co.th/product/1035137874/25681292451,https://s.shopee.co.th/2ft82vR5PJ
23540500810,** พร้อมส่ง Toppuff ต่อขวดน้ำ พร้อมท่อบ้อง ใข้งานง่ายสะดวก,฿29.00,3.6พัน,glassbkk,8.5%,฿2.47,https://shopee.co.th/product/987811447/23540500810,https://s.shopee.co.th/3ApOdqPBOQ
25302893131,ถูกที่สุด！บ้องแก้ว 25CM พร้องใช้งาน ขนาดใหญ่ คัพสายเขียว หลอดวิทยาศาสตร์ โจ๋ข้อต่อน่าสะสม 14MM แก้วสีปรอท,฿168.00,2.7พัน,LilHigh,5.5%,฿9.24,https://shopee.co.th/product/1024953080/25302893131,https://s.shopee.co.th/30VyRXPojP
16089938381,บ้องกัญ Top puff บ้องสีทอง บ้องพกพา หลอดแก้ววิทยาศาสตร์ หลอดแก้วอเนกประสงค์,฿39.00,3.5พัน,Niceshopping,6.5%,฿2.54,https://shopee.co.th/product/319493338/16089938381,https://s.shopee.co.th/2AwrS0SzQG
20394571261,บ้องแก้วใหญ่ 45CM หลอดแก้ว 14CM หนา 7MM พร้อมส่งจากไทย galss bong อุปกรณ์ครบชุดไม่ต้องซื้อเพิ่ม (บ้อง+หลอด+คัพ) หนาขึ้น,฿298.00,2.7พัน,LilHigh,5.5%,฿16.39,https://shopee.co.th/product/1024953080/20394571261,https://s.shopee.co.th/20dRFhTclF
25929132412,บ้องแก้วใหญ่ 25cm หลอดแก้ว 11cm สกรีนสวย หนา 6MM พร้อมส่งจากไทย GLASS bong อุปกรณ์ครบชุด (บ้อง+หลอด+คัพ),฿158.00,714,LilHigh,5.5%,฿8.69,https://shopee.co.th/product/1024953080/25929132412,https://s.shopee.co.th/2VZhqcRikM
20193532839,(พร้อมส่ง) ( สุ่มสี ) บ้องแก้ว มีสายยาง อุปกรณ์เสริม คุณภาพดีและแกะสลักประณีต,฿95.00,1พัน,GONXIFACAI,5.5%,฿5.23,https://shopee.co.th/product/302202076/20193532839,https://s.shopee.co.th/2LGHeJSM5L
18283326292,(พร้อมส่ง) บ้องแก้ว19CM หนา7มิล บ้อง ขนาดใหญ่ บ้อง คัพแก้วสายเขียว หลอดแก้ววิทยาศาสตร์ โจ๋แก้วข้อต่อน่าสะสม14MM,฿149.00,631,CNM.TH,6.5%,฿9.69,https://shopee.co.th/product/841420326/18283326292,https://s.shopee.co.th/1VhAemVWmC
16097958559,บ้องแก้วใหญ่ 25cm หลอดแก้ว 11cm สกรีนสวย หนา 6MM พร้อมส่งจากไทย GLASS bong อุปกรณ์ครบชุด (บ้อง+หลอด+คัพ),฿168.00,8.4พัน,LilHigh,5.5%,฿9.24,https://shopee.co.th/product/1024953080/16097958559,https://s.shopee.co.th/1LNkSTWA7B
25581148593,บ้องแก้ว (พร้อมส่งจากไทย) สูง 25CM สกรีนชัด หลอด ราคาถูก ดอก OG เนื้อ ผลิตภัณฑ์สำหรับสายเขียว,฿168.00,673,LilHigh,5.5%,฿9.24,https://shopee.co.th/product/1024953080/25581148593,https://s.shopee.co.th/1qK13OUG6I
